film,date
ironman2,2010-05-07
thor,2011-05-06
avengers,2012-05-04
ironman3,2013-05-03
thedarkworld,2013-11-08
guardiansofthegalaxy,2014-08-01
ageofultron,2015-05-01
antman,2015-07-17
doctorstrange,2016-11-04
guardiansofthegalaxy2,2017-05-05
spidermanhomecoming,2017-07-07
thorragnarok,2017-11-03
blackpanther,2018-02-16
infinitywar,2018-04-27
antmanandwasp,2018-07-06
captainmarvel,2019-03-08
endgame,2019-04-26
spidermanfarfromhome,2019-07-02
