User,Date,Review,Rating
Betty Jo Tucker,4/13/2020,"'Parasite' includes some wish-I-never-saw-that scenes. Viewers who are faint of heart should be forewarned, but horror fans might enjoy the carnage.",NEG
Tony Macklin,2/11/2020,The parasites have parasites.,NEG
Paddy Kehoe,1/13/2020,"No doubt Asian capitalist interests are well-served in the end, there won't be rioting in the streets on the back of this one. A film is hardly effective satire if it doesn't point up a route to radical change.",NEG
Rick Kisonak,11/6/2019,"That's not ""savage commentary."" That's condescension. This is by far the filmmaker's most commercially successful work to date...",NEG
Prairie Miller,10/24/2019,"A condescending, pessimistic portrayal of human nature, bereft of class consciousness or ideology...",NEG
Armond White,10/11/2019,"Bong is an unfunny extremist. In Parasite, he annihilates the concept of the nuclear family by setting a brood of lower-class con artists against an upper-class family unit.",NEG
